日期,开盘(元/吨),最高(元/吨),最低(元/吨),收盘(元/吨),成交量(手)
2005-01-04,1150.000,1154.000,1143.000,1145.000,101322
2005-01-05,1141.000,1152.000,1141.000,1151.000,115404
2005-01-06,1151.000,1157.000,1151.000,1154.000,116530
2005-01-07,1162.000,1164.000,1156.000,1158.000,142096
2005-01-08,1162.000,1164.000,1156.000,1158.000,0
2005-01-09,1162.000,1164.000,1156.000,1158.000,0
2005-01-10,1158.000,1159.000,1152.000,1155.000,125086
2005-01-11,1156.000,1158.000,1154.000,1155.000,126812
2005-01-12,1153.000,1158.000,1153.000,1157.000,153368
2005-01-13,1150.000,1156.000,1149.000,1155.000,139970
2005-01-14,1155.000,1157.000,1154.000,1156.000,130966
2005-01-15,1155.000,1157.000,1154.000,1156.000,0
2005-01-16,1155.000,1157.000,1154.000,1156.000,0
2005-01-17,1151.000,1156.000,1151.000,1156.000,104946
2005-01-18,1158.000,1158.000,1154.000,1156.000,88976
2005-01-19,1155.000,1160.000,1154.000,1158.000,132780
2005-01-20,1158.000,1159.000,1155.000,1156.000,130834
2005-01-21,1157.000,1158.000,1155.000,1156.000,89508
2005-01-22,1157.000,1158.000,1155.000,1156.000,0
2005-01-23,1157.000,1158.000,1155.000,1156.000,0
2005-01-24,1155.000,1157.000,1154.000,1157.000,133968
2005-01-25,1155.000,1159.000,1155.000,1158.000,123806
2005-01-26,1159.000,1160.000,1157.000,1157.000,103634
2005-01-27,1157.000,1158.000,1154.000,1155.000,104812
2005-01-28,1153.000,1155.000,1150.000,1153.000,113368
2005-01-29,1153.000,1155.000,1150.000,1153.000,0
2005-01-30,1153.000,1155.000,1150.000,1153.000,0
2005-01-31,1153.000,1153.000,1147.000,1148.000,71516
2005-02-01,1151.000,1151.000,1146.000,1146.000,77344
2005-02-02,1146.000,1149.000,1144.000,1145.000,123818
2005-02-03,1144.000,1150.000,1144.000,1149.000,107156
2005-02-04,1149.000,1151.000,1148.000,1150.000,93224
2005-02-05,1149.000,1151.000,1148.000,1150.000,0
2005-02-06,1149.000,1151.000,1148.000,1150.000,0
2005-02-07,1149.000,1151.000,1148.000,1150.000,0
2005-02-08,1149.000,1151.000,1148.000,1150.000,0
2005-02-09,1149.000,1151.000,1148.000,1150.000,0
2005-02-10,1149.000,1151.000,1148.000,1150.000,0
2005-02-11,1149.000,1151.000,1148.000,1150.000,0
2005-02-12,1149.000,1151.000,1148.000,1150.000,0
2005-02-13,1149.000,1151.000,1148.000,1150.000,0
2005-02-14,1149.000,1151.000,1148.000,1150.000,0
2005-02-15,1149.000,1151.000,1148.000,1150.000,0
2005-02-16,1158.000,1160.000,1153.000,1154.000,123060
2005-02-17,1152.000,1154.000,1148.000,1153.000,94920
2005-02-18,1156.000,1157.000,1150.000,1151.000,91572
2005-02-19,1156.000,1157.000,1150.000,1151.000,0
2005-02-20,1156.000,1157.000,1150.000,1151.000,0
2005-02-21,1154.000,1154.000,1148.000,1153.000,132322
2005-02-22,1152.000,1162.000,1152.000,1161.000,113530
2005-02-23,1167.000,1169.000,1156.000,1157.000,118950
2005-02-24,1158.000,1161.000,1156.000,1159.000,154488
2005-02-25,1157.000,1159.000,1156.000,1156.000,68536
2005-02-26,1157.000,1159.000,1156.000,1156.000,0
2005-02-27,1157.000,1159.000,1156.000,1156.000,0
2005-02-28,1167.000,1198.000,1165.000,1185.000,191376
2005-03-01,1185.000,1186.000,1165.000,1172.000,146244
2005-03-02,1167.000,1188.000,1166.000,1178.000,156960
2005-03-03,1175.000,1181.000,1171.000,1174.000,132666
2005-03-04,1176.000,1182.000,1170.000,1182.000,144194
2005-03-05,1176.000,1182.000,1170.000,1182.000,0
2005-03-06,1176.000,1182.000,1170.000,1182.000,0
2005-03-07,1185.000,1192.000,1181.000,1186.000,115476
2005-03-08,1174.000,1186.000,1173.000,1185.000,126466
2005-03-09,1190.000,1199.000,1186.000,1194.000,163104
2005-03-10,1196.000,1221.000,1196.000,1214.000,225174
2005-03-11,1221.000,1230.000,1202.000,1209.000,165240
2005-03-12,1221.000,1230.000,1202.000,1209.000,0
2005-03-13,1221.000,1230.000,1202.000,1209.000,0
2005-03-14,1226.000,1229.000,1204.000,1212.000,182040
2005-03-15,1261.000,1296.000,1255.000,1285.000,145266
2005-03-16,1299.000,1329.000,1299.000,1318.000,185916
2005-03-17,1261.000,1276.000,1251.000,1255.000,134492
2005-03-18,1295.000,1299.000,1250.000,1270.000,144608
2005-03-19,1295.000,1299.000,1250.000,1270.000,0
2005-03-20,1295.000,1299.000,1250.000,1270.000,0
2005-03-21,1263.000,1321.000,1260.000,1308.000,176932
2005-03-22,1286.000,1313.000,1280.000,1308.000,304674
2005-03-23,1306.000,1319.000,1295.000,1299.000,263286
2005-03-24,1305.000,1317.000,1291.000,1314.000,210718
2005-03-25,1321.000,1328.000,1308.000,1313.000,216352
2005-03-26,1321.000,1328.000,1308.000,1313.000,0
2005-03-27,1321.000,1328.000,1308.000,1313.000,0
2005-03-28,1328.000,1331.000,1305.000,1313.000,145334
2005-03-29,1345.000,1355.000,1338.000,1339.000,177850
2005-03-30,1340.000,1344.000,1313.000,1318.000,167560
2005-03-31,1328.000,1335.000,1320.000,1327.000,120358
2005-04-01,1323.000,1330.000,1300.000,1329.000,138056
2005-04-02,1323.000,1330.000,1300.000,1329.000,0
2005-04-03,1323.000,1330.000,1300.000,1329.000,0
2005-04-04,1322.000,1342.000,1320.000,1337.000,125014
2005-04-05,1338.000,1341.000,1327.000,1329.000,117642
