日期,开盘(元/吨),最高(元/吨),最低(元/吨),收盘(元/吨),成交量(手)
2014-12-22,2795.000,2800.000,2727.000,2738.000,26170
2014-12-23,2736.000,2760.000,2715.000,2740.000,18726
2014-12-24,2747.000,2760.000,2741.000,2752.000,8284
2014-12-25,2750.000,2750.000,2665.000,2727.000,20260
2014-12-26,2727.000,2738.000,2718.000,2721.000,9158
2014-12-29,2722.000,2737.000,2720.000,2731.000,5406
2014-12-30,2727.000,2733.000,2710.000,2721.000,9056
2014-12-31,2728.000,2728.000,2708.000,2713.000,5280
2015-01-05,2718.000,2718.000,2678.000,2684.000,13408
2015-01-06,2689.000,2697.000,2624.000,2630.000,28882
2015-01-07,2640.000,2651.000,2625.000,2643.000,16506
2015-01-08,2640.000,2657.000,2636.000,2652.000,10858
2015-01-09,2652.000,2662.000,2637.000,2648.000,12278
2015-01-12,2649.000,2660.000,2648.000,2658.000,8452
2015-01-13,2658.000,2661.000,2638.000,2658.000,10230
2015-01-14,2646.000,2665.000,2646.000,2647.000,8676
2015-01-15,2645.000,2663.000,2640.000,2662.000,7404
2015-01-16,2660.000,2692.000,2655.000,2684.000,11940
2015-01-19,2690.000,2714.000,2680.000,2701.000,9284
2015-01-20,2700.000,2708.000,2694.000,2702.000,4142
2015-01-21,2704.000,2723.000,2702.000,2711.000,7186
2015-01-22,2713.000,2714.000,2672.000,2694.000,10236
2015-01-23,2690.000,2703.000,2681.000,2686.000,4912
2015-01-26,2695.000,2703.000,2660.000,2694.000,5054
2015-01-27,2695.000,2736.000,2693.000,2728.000,12686
2015-01-28,2725.000,2763.000,2704.000,2759.000,13162
2015-01-29,2760.000,2828.000,2750.000,2780.000,23094
2015-01-30,2780.000,2795.000,2766.000,2778.000,14918
2015-02-02,2781.000,2812.000,2765.000,2796.000,11744
2015-02-03,2795.000,2806.000,2782.000,2792.000,9956
2015-02-04,2801.000,2817.000,2785.000,2797.000,11042
2015-02-05,2800.000,2858.000,2792.000,2814.000,55740
2015-02-06,2821.000,2839.000,2815.000,2839.000,13580
2015-02-09,2842.000,2873.000,2833.000,2862.000,42018
2015-02-10,2868.000,2880.000,2854.000,2879.000,35920
2015-02-11,2875.000,2878.000,2859.000,2862.000,21656
2015-02-12,2862.000,2867.000,2831.000,2840.000,30088
2015-02-13,2840.000,2872.000,2837.000,2856.000,21888
2015-02-16,2858.000,2860.000,2845.000,2858.000,8348
2015-02-17,2855.000,2855.000,2817.000,2825.000,13600
2015-02-25,2580.000,2580.000,2580.000,2580.000,2
2015-02-26,2809.000,2838.000,2806.000,2828.000,14028
2015-02-27,2828.000,2865.000,2827.000,2856.000,16064
2015-03-02,2856.000,2875.000,2856.000,2861.000,9402
2015-03-03,2859.000,2860.000,2818.000,2842.000,11430
2015-03-04,2842.000,2873.000,2835.000,2871.000,19288
2015-03-05,2864.000,2869.000,2843.000,2848.000,18946
2015-03-06,2845.000,2863.000,2834.000,2838.000,10942
2015-03-09,2836.000,2865.000,2834.000,2863.000,17332
2015-03-10,2862.000,2935.000,2861.000,2914.000,97354
2015-03-11,2913.000,2975.000,2913.000,2959.000,121256
2015-03-12,2966.000,2966.000,2930.000,2957.000,66786
2015-03-13,2958.000,2995.000,2944.000,2973.000,77968
2015-03-16,2969.000,3006.000,2962.000,2988.000,98416
2015-03-17,2989.000,2998.000,2975.000,2993.000,38734
2015-03-18,2997.000,2997.000,2952.000,2960.000,48746
2015-03-19,2969.000,2973.000,2942.000,2952.000,36680
2015-03-20,2951.000,2987.000,2946.000,2963.000,47472
2015-03-23,2981.000,2990.000,2961.000,2976.000,14956
2015-03-24,2985.000,3060.000,2979.000,3036.000,72272
2015-03-25,3040.000,3050.000,3007.000,3025.000,36818
2015-03-26,3025.000,3047.000,3011.000,3037.000,25556
2015-03-27,3041.000,3089.000,3021.000,3073.000,86776
2015-03-30,3079.000,3087.000,3045.000,3080.000,27382
2015-03-31,3079.000,3100.000,3063.000,3071.000,33536
2015-04-01,3065.000,3069.000,2980.000,3010.000,63596
2015-04-02,3012.000,3032.000,2988.000,3000.000,21272
2015-04-03,3013.000,3014.000,2996.000,3009.000,20966
2015-04-07,3014.000,3014.000,2976.000,3000.000,24478
2015-04-08,3000.000,3013.000,2952.000,2964.000,63290
2015-04-09,2965.000,2970.000,2948.000,2963.000,32340
2015-04-10,2961.000,3003.000,2960.000,2997.000,44112
2015-04-13,2984.000,3043.000,2984.000,3030.000,73050
2015-04-14,3035.000,3038.000,2989.000,2998.000,45220
2015-04-15,2999.000,3001.000,2914.000,2936.000,88170
2015-04-16,2947.000,2958.000,2926.000,2942.000,37092
2015-04-17,2945.000,2971.000,2937.000,2968.000,33852
2015-04-20,2971.000,2983.000,2937.000,2948.000,31106
2015-04-21,2950.000,2963.000,2928.000,2946.000,31260
2015-04-22,2942.000,2961.000,2938.000,2956.000,20688
2015-04-23,2953.000,2973.000,2953.000,2956.000,21454
2015-04-24,2963.000,2967.000,2922.000,2953.000,42390
2015-04-27,2945.000,2956.000,2938.000,2951.000,14366
2015-04-28,2952.000,2983.000,2942.000,2952.000,45442
2015-04-29,2955.000,2955.000,2930.000,2947.000,25622
2015-04-30,2949.000,2979.000,2948.000,2975.000,28902
2015-05-04,2966.000,3016.000,2966.000,2995.000,47982
2015-05-05,2998.000,3002.000,2983.000,2998.000,21168
2015-05-06,3001.000,3001.000,2989.000,2997.000,15402
2015-05-07,2995.000,3032.000,2983.000,3009.000,67812
2015-05-08,3000.000,3007.000,2988.000,2995.000,23924
2015-05-11,3000.000,3014.000,2986.000,2992.000,17034
2015-05-12,2989.000,3010.000,2983.000,3009.000,18532
2015-05-13,3002.000,3025.000,3002.000,3016.000,22320
2015-05-14,3016.000,3027.000,3005.000,3025.000,25634
2015-05-15,3030.000,3039.000,3021.000,3024.000,24632
2015-05-18,3026.000,3026.000,3009.000,3013.000,13512
2015-05-19,3015.000,3022.000,3005.000,3017.000,14586
2015-05-20,3011.000,3025.000,2997.000,3008.000,27680
2015-05-21,3011.000,3016.000,3001.000,3011.000,12350
2015-05-22,3011.000,3013.000,2995.000,3004.000,14832
2015-05-25,2997.000,3000.000,2961.000,2962.000,26002
2015-05-26,2966.000,2978.000,2930.000,2933.000,31174
2015-05-27,2928.000,2942.000,2891.000,2894.000,27890
2015-05-28,2912.000,2918.000,2892.000,2911.000,24832
2015-05-29,2912.000,2931.000,2907.000,2922.000,15792
2015-06-01,2930.000,2948.000,2930.000,2931.000,11798
2015-06-02,2928.000,2946.000,2922.000,2945.000,7616
2015-06-03,2946.000,2946.000,2920.000,2925.000,10942
2015-06-04,2920.000,2927.000,2878.000,2909.000,31070
2015-06-05,2910.000,2913.000,2873.000,2874.000,15198
2015-06-08,2862.000,2882.000,2817.000,2876.000,46204
2015-06-09,2880.000,2890.000,2866.000,2879.000,12972
2015-06-10,2885.000,2888.000,2852.000,2871.000,20344
2015-06-11,2867.000,2888.000,2867.000,2880.000,11806
2015-06-12,2877.000,2877.000,2846.000,2872.000,17136
2015-06-15,2840.000,2863.000,2815.000,2836.000,24688
2015-06-16,2840.000,2879.000,2828.000,2872.000,16854
2015-06-17,2874.000,2887.000,2865.000,2871.000,12160
2015-06-18,2870.000,2898.000,2869.000,2883.000,11930
2015-06-19,2883.000,2894.000,2867.000,2877.000,9794
2015-06-23,2885.000,2920.000,2866.000,2874.000,13790
2015-06-24,2872.000,2879.000,2851.000,2872.000,18352
2015-06-25,2872.000,2877.000,2852.000,2853.000,10748
2015-06-26,2860.000,2866.000,2846.000,2862.000,12668
2015-06-29,2871.000,2876.000,2839.000,2839.000,12822
2015-06-30,2845.000,2845.000,2820.000,2834.000,9882
2015-07-01,2848.000,2889.000,2845.000,2858.000,10032
2015-07-02,2860.000,2860.000,2821.000,2839.000,5954
2015-07-03,2844.000,2857.000,2839.000,2854.000,7222
2015-07-06,2852.000,2869.000,2848.000,2857.000,9878
2015-07-07,2858.000,2875.000,2851.000,2856.000,11536
2015-07-08,2818.000,2860.000,2756.000,2814.000,111586
2015-07-09,2849.000,2891.000,2842.000,2879.000,49548
2015-07-10,2870.000,2895.000,2858.000,2860.000,21554
2015-07-13,2860.000,2913.000,2847.000,2851.000,18820
2015-07-14,2870.000,2873.000,2850.000,2852.000,6572
2015-07-15,2848.000,2859.000,2841.000,2852.000,3930
2015-07-16,2858.000,2890.000,2850.000,2887.000,14868
2015-07-17,2887.000,2900.000,2872.000,2892.000,11596
2015-07-20,2890.000,2890.000,2822.000,2840.000,11518
2015-07-21,2840.000,2847.000,2831.000,2843.000,7586
2015-07-22,2841.000,2853.000,2836.000,2846.000,6164
2015-07-23,2849.000,2851.000,2838.000,2841.000,4436
2015-07-24,2840.000,2844.000,2818.000,2834.000,6172
2015-07-27,2835.000,2835.000,2775.000,2777.000,9206
2015-07-28,2443.000,2453.000,2425.000,2438.000,10194
2015-07-29,2439.000,2454.000,2439.000,2448.000,5058
2015-07-30,2450.000,2457.000,2428.000,2428.000,7418
2015-07-31,2433.000,2448.000,2430.000,2441.000,8214
2015-08-03,2435.000,2436.000,2392.000,2409.000,20690
2015-08-04,2410.000,2429.000,2387.000,2394.000,16192
2015-08-05,2402.000,2409.000,2380.000,2403.000,14308
2015-08-06,2408.000,2411.000,2389.000,2393.000,7088
2015-08-07,2400.000,2400.000,2371.000,2374.000,9034
2015-08-10,2373.000,2390.000,2338.000,2350.000,29562
2015-08-11,2358.000,2381.000,2358.000,2361.000,20562
2015-08-12,2355.000,2366.000,2344.000,2352.000,17340
2015-08-13,2340.000,2410.000,2334.000,2405.000,48152
2015-08-14,2404.000,2437.000,2402.000,2415.000,33966
2015-08-17,2414.000,2436.000,2404.000,2423.000,11162
2015-08-18,2427.000,2448.000,2407.000,2420.000,13478
2015-08-19,2428.000,2428.000,2395.000,2402.000,18974
2015-08-20,2401.000,2413.000,2375.000,2379.000,17438
2015-08-21,2381.000,2391.000,2363.000,2372.000,13322
2015-08-24,2365.000,2372.000,2345.000,2367.000,25742
2015-08-25,2370.000,2415.000,2370.000,2395.000,30620
2015-08-26,2400.000,2405.000,2384.000,2390.000,16864
2015-08-27,2393.000,2395.000,2365.000,2369.000,17524
2015-08-28,2389.000,2407.000,2374.000,2375.000,27300
2015-08-31,2378.000,2378.000,2303.000,2309.000,35024
2015-09-01,2318.000,2340.000,2293.000,2312.000,37382
2015-09-02,2313.000,2313.000,2289.000,2308.000,33166
2015-09-07,2710.000,2710.000,2630.000,2630.000,240
2015-09-08,2295.000,2324.000,2295.000,2323.000,22160
2015-09-09,2337.000,2343.000,2299.000,2301.000,39758
2015-09-10,2300.000,2311.000,2264.000,2301.000,81900
2015-09-11,2305.000,2323.000,2301.000,2304.000,34206
2015-09-14,2309.000,2316.000,2278.000,2285.000,41012
2015-09-15,2289.000,2292.000,2269.000,2282.000,35166
2015-09-16,2289.000,2308.000,2283.000,2302.000,51320
2015-09-17,2308.000,2310.000,2280.000,2289.000,35002
2015-09-18,2290.000,2295.000,2244.000,2252.000,99692
2015-09-21,2300.000,2304.000,2261.000,2267.000,78894
2015-09-22,2269.000,2273.000,2233.000,2239.000,76178
2015-09-23,2228.000,2240.000,2216.000,2234.000,73938
2015-09-24,2239.000,2249.000,2229.000,2234.000,29916
2015-09-25,2232.000,2245.000,2224.000,2228.000,30298
2015-09-28,2227.000,2235.000,2219.000,2229.000,25588
2015-09-29,2227.000,2227.000,2188.000,2192.000,47366
2015-09-30,2190.000,2198.000,2143.000,2145.000,63752
2015-10-09,2042.000,2090.000,2037.000,2065.000,170228
2015-10-12,2070.000,2086.000,2038.000,2048.000,104436
2015-10-13,2052.000,2052.000,1983.000,1999.000,273952
2015-10-14,1980.000,2009.000,1966.000,1979.000,307042
2015-10-15,1979.000,2000.000,1971.000,1980.000,193130
2015-10-16,1988.000,1989.000,1961.000,1981.000,219190
2015-10-19,1980.000,1984.000,1946.000,1948.000,224298
2015-10-20,1950.000,1965.000,1941.000,1953.000,178186
2015-10-21,1953.000,1973.000,1946.000,1952.000,138044
2015-10-22,1958.000,1964.000,1903.000,1914.000,413896
2015-10-23,1910.000,1926.000,1890.000,1919.000,297504
2015-10-26,1918.000,1963.000,1916.000,1947.000,390200
2015-10-27,1947.000,1992.000,1940.000,1985.000,360684
2015-10-28,1985.000,1985.000,1943.000,1944.000,295810
2015-10-29,1960.000,1972.000,1949.000,1963.000,97990
2015-10-30,1964.000,1971.000,1948.000,1952.000,81968
2015-11-02,1970.000,1971.000,1956.000,1966.000,61116
2015-11-03,1963.000,2003.000,1960.000,1987.000,189172
2015-11-04,1991.000,2034.000,1989.000,2025.000,211174
2015-11-05,2029.000,2044.000,2022.000,2039.000,172764
2015-11-06,2034.000,2074.000,1991.000,2070.000,211760
2015-11-09,2066.000,2123.000,2058.000,2094.000,492038
2015-11-10,2090.000,2093.000,2015.000,2044.000,500188
2015-11-11,2040.000,2049.000,2022.000,2045.000,269316
